epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,23272.5,0.82249,0.39345,1.07316,0.93124,0.89321,0.92891,0.72523,0.89354,0.34774,1.10791,0.005842,0.005842,0.005842
44,23818.3,0.82105,0.39307,1.07614,0.91284,0.91831,0.93327,0.72505,0.89147,0.34666,1.10674,0.005743,0.005743,0.005743
45,24358.9,0.81797,0.39115,1.07318,0.91652,0.91174,0.93206,0.72429,0.89002,0.3458,1.10611,0.005644,0.005644,0.005644
46,24875.8,0.81209,0.38677,1.06262,0.9194,0.91411,0.93406,0.728,0.88848,0.34483,1.10438,0.005545,0.005545,0.005545
47,25394.8,0.81004,0.38641,1.06687,0.91417,0.91762,0.93361,0.72785,0.88613,0.34393,1.10259,0.005446,0.005446,0.005446
48,25911.6,0.80492,0.38423,1.06552,0.91195,0.91872,0.93444,0.73054,0.8846,0.34349,1.10191,0.005347,0.005347,0.005347
49,26422.8,0.79929,0.38184,1.0621,0.91417,0.91744,0.93551,0.73151,0.88259,0.34285,1.10073,0.005248,0.005248,0.005248
50,26932.2,0.79888,0.37783,1.05724,0.91336,0.91707,0.9348,0.73218,0.88087,0.34287,1.09864,0.005149,0.005149,0.005149
51,27445.8,0.79719,0.37634,1.05841,0.91531,0.9162,0.93488,0.7304,0.87928,0.34243,1.0974,0.00505,0.00505,0.00505
52,28026.6,0.79148,0.37635,1.0576,0.91783,0.91577,0.93503,0.73135,0.87821,0.34157,1.09673,0.004951,0.004951,0.004951
53,28605.3,0.78962,0.37456,1.05353,0.91857,0.91383,0.93587,0.73232,0.87639,0.34119,1.09533,0.004852,0.004852,0.004852
54,29186.9,0.78282,0.37,1.05252,0.92161,0.90962,0.93598,0.73183,0.87505,0.34017,1.09451,0.004753,0.004753,0.004753
55,474.662,0.7829,0.36537,1.05306,0.92256,0.90857,0.93534,0.73199,0.87438,0.33985,1.09437,0.004654,0.004654,0.004654
56,946.174,0.78828,0.37125,1.05915,0.93883,0.89113,0.93231,0.73226,0.87393,0.33953,1.09461,0.004555,0.004555,0.004555
57,1396.91,0.78774,0.37007,1.05152,0.93698,0.89233,0.93211,0.73205,0.87295,0.33871,1.09416,0.004456,0.004456,0.004456
58,1881.58,0.78,0.36846,1.0503,0.92974,0.8934,0.92957,0.73376,0.87179,0.33836,1.09332,0.004357,0.004357,0.004357
59,2373.35,0.77813,0.36534,1.04965,0.92935,0.8942,0.92746,0.73404,0.87073,0.33734,1.09288,0.004258,0.004258,0.004258
60,2846.53,0.77692,0.36458,1.0527,0.93002,0.89421,0.93137,0.73478,0.86964,0.33699,1.09249,0.004159,0.004159,0.004159
61,3332.02,0.77274,0.36245,1.04881,0.93065,0.89413,0.93125,0.73609,0.86822,0.33625,1.09189,0.00406,0.00406,0.00406
62,3811.97,0.76877,0.35968,1.04278,0.93081,0.8943,0.9311,0.73642,0.86708,0.33594,1.09089,0.003961,0.003961,0.003961
63,4294.48,0.76704,0.35878,1.03532,0.931,0.89434,0.9273,0.73465,0.86612,0.33539,1.08989,0.003862,0.003862,0.003862
64,4777.67,0.76125,0.35399,1.03761,0.93059,0.89442,0.92626,0.73384,0.86556,0.33476,1.08984,0.003763,0.003763,0.003763
65,5258.21,0.75927,0.35388,1.0347,0.93078,0.89466,0.9277,0.73601,0.86398,0.33387,1.08902,0.003664,0.003664,0.003664
66,5743.07,0.75605,0.35088,1.0358,0.93155,0.89899,0.92804,0.73539,0.86317,0.33374,1.08869,0.003565,0.003565,0.003565
67,6227.9,0.74926,0.34948,1.03485,0.93209,0.89503,0.92723,0.73639,0.86189,0.3332,1.08846,0.003466,0.003466,0.003466
68,6713.4,0.74594,0.34617,1.0259,0.93207,0.89506,0.9262,0.73694,0.86088,0.33261,1.08826,0.003367,0.003367,0.003367
69,7199.03,0.74261,0.34513,1.02869,0.93218,0.89889,0.92681,0.73657,0.85935,0.3322,1.08754,0.003268,0.003268,0.003268
70,7683.7,0.73884,0.34166,1.02608,0.92916,0.90033,0.9267,0.73674,0.85769,0.33222,1.0864,0.003169,0.003169,0.003169
71,8171.93,0.73418,0.34015,1.02419,0.92854,0.90101,0.92706,0.73655,0.85622,0.33142,1.08553,0.00307,0.00307,0.00307
72,8658.72,0.72928,0.33736,1.02061,0.92843,0.90214,0.9255,0.73769,0.85433,0.33055,1.08422,0.002971,0.002971,0.002971
73,9141.78,0.72628,0.33493,1.01987,0.92593,0.89683,0.92574,0.74045,0.85301,0.32993,1.08343,0.002872,0.002872,0.002872
74,9625.43,0.72266,0.33294,1.01284,0.92576,0.89696,0.92566,0.73998,0.8513,0.32931,1.08195,0.002773,0.002773,0.002773
75,10100.9,0.7186,0.33143,1.00998,0.92588,0.89661,0.92564,0.74051,0.84972,0.3288,1.08076,0.002674,0.002674,0.002674
76,10585,0.71471,0.32881,1.0104,0.92991,0.89762,0.93032,0.73836,0.84797,0.32837,1.07942,0.002575,0.002575,0.002575
77,11068.6,0.70937,0.32554,1.00728,0.93033,0.897,0.92886,0.739,0.84643,0.32706,1.07832,0.002476,0.002476,0.002476
78,11555.5,0.70778,0.32429,1.00576,0.93246,0.89643,0.93016,0.73942,0.84487,0.3265,1.07718,0.002377,0.002377,0.002377
79,12038.1,0.70376,0.32116,1.00418,0.93327,0.8962,0.93068,0.74074,0.84296,0.32605,1.07604,0.002278,0.002278,0.002278
80,12526.2,0.6977,0.31878,1.00196,0.93638,0.89584,0.93055,0.74077,0.84122,0.32553,1.07466,0.002179,0.002179,0.002179
81,13015,0.69368,0.31591,0.99942,0.93734,0.89577,0.93014,0.74007,0.83934,0.3247,1.07355,0.00208,0.00208,0.00208
82,13501.3,0.68746,0.31418,0.99568,0.93739,0.8961,0.92954,0.73953,0.83746,0.32399,1.07232,0.001981,0.001981,0.001981
83,13989.4,0.68482,0.31239,0.99754,0.93682,0.89665,0.92961,0.74039,0.83574,0.32333,1.07143,0.001882,0.001882,0.001882
84,14476.8,0.68423,0.31066,0.99668,0.9367,0.89637,0.92995,0.73912,0.83375,0.32255,1.07036,0.001783,0.001783,0.001783
85,15049.2,0.67553,0.30675,0.98901,0.93361,0.89906,0.92944,0.73969,0.83143,0.32205,1.06869,0.001684,0.001684,0.001684
86,15608.9,0.67283,0.30393,0.98821,0.93107,0.90034,0.92952,0.73967,0.82978,0.32137,1.06786,0.001585,0.001585,0.001585
87,16099.7,0.66757,0.30251,0.98671,0.9295,0.89642,0.92836,0.73755,0.82796,0.32075,1.06687,0.001486,0.001486,0.001486
88,16600.8,0.66405,0.30031,0.98522,0.92594,0.89913,0.92831,0.73775,0.8261,0.32016,1.06607,0.001387,0.001387,0.001387
89,17097.9,0.65903,0.29914,0.98253,0.9242,0.90056,0.92821,0.73632,0.8247,0.31909,1.06533,0.001288,0.001288,0.001288
90,17578.8,0.65729,0.29551,0.97825,0.93377,0.88853,0.92778,0.73756,0.82269,0.31861,1.06403,0.001189,0.001189,0.001189
